Date,Open,High,Low,Close,Adj Close,Volume
8/10/2020,1.178244829,1.180199981,1.174300194,1.178272724,1.178272724,0
8/11/2020,1.17376399,1.180498123,1.172319174,1.173777819,1.173777819,0
8/12/2020,1.173984528,1.181265116,1.171303034,1.173653841,1.173653841,0
8/13/2020,1.179648638,1.186400056,1.179467797,1.179380178,1.179380178,0
8/14/2020,1.181893468,1.183800459,1.178467035,1.181655884,1.181655884,0
8/17/2020,1.185044765,1.188071728,1.183039904,1.185255408,1.185255408,0
8/18/2020,1.187930703,1.196515799,1.187535644,1.187648416,1.187648416,0
8/19/2020,1.194728851,1.19545722,1.189343452,1.194785953,1.194785953,0
8/20/2020,1.184174657,1.186844945,1.180651546,1.184350014,1.184350014,0
8/21/2020,1.187084556,1.188636661,1.175490022,1.187366486,1.187366486,0
8/24/2020,1.179913163,1.185255408,1.178619862,1.179801822,1.179801822,0
8/25/2020,1.179523468,1.184413195,1.178480864,1.17945385,1.17945385,0
8/26/2020,1.183333874,1.183992386,1.177606702,1.183501959,1.183501959,0
8/27/2020,1.184020519,1.189852953,1.176622868,1.184272885,1.184272885,0
8/28/2020,1.182047009,1.192037106,1.181195378,1.181963205,1.181963205,0
8/31/2020,1.191653728,1.196358204,1.188509464,1.191824079,1.191824079,0
9/1/2020,1.193915725,1.201129079,1.193730474,1.193901539,1.193901539,0
9/2/2020,1.192307234,1.192435145,1.182410479,1.19232142,1.19232142,0
9/3/2020,1.184595585,1.184805989,1.178967237,1.184735894,1.184735894,0
9/4/2020,1.184370995,1.186352253,1.178175449,1.183978438,1.183978438,0
9/7/2020,1.183656096,1.184862137,1.181376815,1.18344593,1.18344593,0
9/8/2020,1.181921363,1.182872057,1.176719785,1.182172775,1.182172775,0
9/9/2020,1.176913619,1.18305397,1.175364375,1.177024484,1.177024484,0
9/10/2020,1.180637598,1.191469073,1.180289149,1.180637598,1.180637598,0
9/11/2020,1.182620287,1.187648416,1.182592273,1.182438493,1.182438493,0
9/14/2020,1.184356928,1.188800573,1.183305979,1.184272885,1.184272885,0
9/15/2020,1.186690092,1.190099359,1.184146643,1.187000036,1.187000036,0
9/16/2020,1.184272885,1.18830049,1.1814605,1.184441209,1.184441209,0
9/17/2020,1.180428505,1.183011889,1.174163699,1.180344939,1.180344939,0
9/18/2020,1.185255408,1.187100053,1.183123827,1.184820056,1.184820056,0
9/21/2020,1.184553385,1.187300205,1.173268199,1.184553385,1.184553385,0
9/22/2020,1.176180005,1.177301645,1.169344425,1.176800013,1.176800013,0
9/23/2020,1.170754552,1.172000527,1.166493654,1.170836806,1.170836806,0
9/24/2020,1.16619432,1.168100119,1.16296649,1.165854454,1.165854454,0
9/25/2020,1.167365074,1.168510914,1.16134584,1.167324305,1.167324305,0
9/28/2020,1.1635077,1.167965055,1.161669493,1.16353488,1.16353488,0
9/29/2020,1.167774081,1.174163699,1.166656971,1.167883277,1.167883277,0
9/30/2020,1.174274087,1.175640702,1.16860652,1.174205065,1.174205065,0
10/1/2020,1.172374129,1.176700354,1.171810865,1.172607899,1.172607899,0
10/2/2020,1.174411893,1.17470026,1.169713736,1.174494624,1.174494624,0
10/5/2020,1.172195554,1.179662585,1.171930432,1.172044396,1.172044396,0
10/6/2020,1.178828239,1.180735111,1.176733613,1.179245353,1.179245353,0
10/7/2020,1.173736572,1.178139329,1.172540545,1.17376399,1.17376399,0
10/8/2020,1.176553607,1.178133845,1.173529863,1.176747441,1.176747441,0
10/9/2020,1.176705956,1.182452321,1.175875664,1.176700354,1.176700354,0
10/12/2020,1.181334972,1.182732105,1.178800464,1.181683898,1.181683898,0
10/13/2020,1.181418657,1.181418657,1.17357111,1.181614041,1.181614041,0
10/14/2020,1.174398184,1.177024484,1.172168016,1.174218893,1.174218893,0
10/15/2020,1.174756885,1.176055431,1.169016361,1.174398184,1.174398184,0
10/16/2020,1.170576453,1.174674034,1.169494867,1.170713425,1.170713425,0
10/19/2020,1.171563864,1.179523468,1.170494199,1.171550155,1.171550155,0
10/20/2020,1.176802874,1.183992386,1.176262975,1.176885962,1.176885962,0
10/21/2020,1.182927966,1.188212872,1.182927966,1.182983994,1.182983994,0
10/22/2020,1.185129046,1.18694365,1.181334972,1.185395956,1.185395956,0
10/23/2020,1.18140471,1.185958266,1.178800464,1.181502461,1.181502461,0
10/26/2020,1.184834123,1.185100913,1.18040061,1.18484807,1.18484807,0
10/27/2020,1.180944324,1.183800459,1.179940939,1.180944324,1.180944324,0
10/28/2020,1.178161621,1.178828239,1.171930432,1.178411484,1.178411484,0
10/29/2020,1.174743056,1.175917268,1.165623426,1.174867272,1.174867272,0
10/30/2020,1.167678595,1.170343518,1.164306998,1.167869568,1.167869568,0
11/2/2020,1.164252758,1.165699482,1.162439227,1.164212108,1.164212108,0
11/3/2020,1.164279938,1.174199581,1.163805604,1.164279938,1.164279938,0
11/4/2020,1.176456809,1.176885962,1.160766125,1.17622149,1.17622149,0
11/5/2020,1.172993064,1.185677052,1.171275616,1.173268199,1.173268199,0
11/6/2020,1.181418657,1.189060569,1.179620862,1.181753755,1.181753755,0
11/9/2020,1.1893152,1.191923499,1.179746151,1.189301014,1.189301014,0
11/10/2020,1.182326555,1.184356928,1.178078294,1.182732105,1.182732105,0
11/11/2020,1.181963205,1.183291912,1.174729228,1.181879401,1.181879401,0
11/12/2020,1.177870154,1.182300091,1.175958753,1.178029776,1.178029776,0
11/13/2020,1.180526018,1.183389902,1.179968834,1.180339336,1.180339336,0
11/16/2020,1.184427142,1.186873198,1.181474447,1.184525371,1.184525371,0
11/17/2020,1.185972333,1.189272761,1.184553385,1.1859442,1.1859442,0
11/18/2020,1.186436653,1.189100266,1.18511498,1.18636632,1.18636632,0
11/19/2020,1.184286952,1.185536385,1.181739807,1.184763908,1.184763908,0
11/20/2020,1.186746478,1.189088941,1.185185194,1.186647773,1.186647773,0
11/23/2020,1.186535239,1.190589547,1.180317044,1.186647773,1.186647773,0
11/24/2020,1.184180379,1.189385891,1.183894277,1.184272885,1.184272885,0
11/25/2020,1.190051198,1.192804933,1.188283563,1.190051198,1.190051198,0
